就診年週	2010	2011	2012	2013	2014	2015	2016
1	86	57	183	114	135	50	119
2	92	55	210	100	106	39	101
3	80	51	211	110	79	52	114
4	87	45	444	106	82	75	94
5	90	73	116	86	140	64	80
6	105	49	103	99	95	48	245
7	129	23	114	215	34	112	53
8	85	34	138	67	67	58	49
9	138	40	137	81	59	46	43
10	75	25	106	69	55	32	64
11	97	26	123	75	70	54	77
12	136	31	152	67	66	53	96
13	97	18	161	68	43	70	109
14	161	55	166	61	103	97	123
15	123	51	180	73	96	93	114
16	158	42	233	91	107	66	136
17	262	37	269	117	154	126	147
18	314	62	354	158	176	123	178
19	308	94	376	187	180	186	238
20	410	118	395	200	277	200	237
21	470	121	441	339	358	209	306
22	453	162	447	469	463	280	341
23	431	233	499	526	608	272	425
24	626	221	539	570	538	321	317
25	702	210	562	517	547	296	347
26	741	249	508	518	485	253	330
27	846	282	509	514	407	240	286
28	726	278	343	410	313	191	195
29	673	299	313	349	240	167	178
30	627	263	277	295	193	178	145
31	536	285	209	333	159	167	135
32	493	220	193	270	131	157	101
33	434	192	132	257	113	142	129
34	416	195	118	169	107	141	111
35	372	168	119	169	86	168	90
36	445	170	81	157	89	165	110
37	364	222	96	124	96	156	110
38	413	155	73	142	65	199	139
39	329	137	93	166	80	215	93
40	352	149	87	135	74	230	116
41	317	155	73	197	68	188	112
42	321	116	58	152	47	149	142
43	281	110	46	131	60	188	164
44	177	171	75	119	57	175	169
45	192	144	71	141	55	195	160
46	157	184	61	167	41	271	167
47	143	210	56	160	52	222	227
48	120	168	63	100	64	197	235
49	113	154	69	105	73	160	232
50	82	157	64	89	63	179	277
51	81	165	80	115	59	159	235
52	78	138	89	84	59	179	230
53					72		
